PLAYER_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Aaron Gordon,910.6000000000001,0.055,0.76,0.9,0.167,1.112,2.6,0.138,0.64,2.2,0.025,1.217,0.4,0.141,0.922,2.2,0.162,0.85,2.5,0.057,0.635,0.9,0.081,1.608,1.3,0.032,0.448,0.5,0.083,1.053,1.3,0.059,0.5,0.9
Aaron Holiday,585.8000000000001,0.07,1.048,0.7,0.182,0.809,1.9,0.358,0.722,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.249,1.233,2.6,0.06,0.861,0.6,0.0,0.0,0.0,0.02,1.0,0.2,0.0,0.0,0.0,0.041,0.48,0.4
Abdel Nader,268.8,0.0,0.0,0.0,0.182,1.235,1.1,0.096,0.667,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.407,0.895,2.4,0.061,0.706,0.4,0.046,1.615,0.3,0.086,1.375,0.5,0.0,0.0,0.0,0.054,0.733,0.3
Adam Mokoka,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.769,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,59.400000000000006,0.0,0.0,0.0,0.161,1.286,0.5,0.0,0.0,0.0,0.126,1.091,0.4,0.0,0.0,0.0,0.402,0.771,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,738.0,0.035,0.615,0.4,0.154,1.172,1.9,0.0,0.0,0.0,0.185,1.043,2.3,0.23,0.902,2.9,0.202,0.855,2.5,0.0,0.0,0.0,0.051,1.395,0.6,0.023,0.882,0.3,0.048,1.139,0.6,0.061,0.413,0.8
Al-Farouq Aminu,93.60000000000001,0.0,0.0,0.0,0.178,0.571,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.488,2.4,0.0,0.0,0.0,0.119,1.071,0.8,0.0,0.0,0.0,0.119,0.786,0.8,0.0,0.0,0.0
Alec Burks,767.9999999999999,0.071,0.873,1.1,0.127,1.163,2.0,0.358,0.92,5.8,0.0,0.0,0.0,0.039,0.933,0.6,0.132,1.02,2.1,0.097,1.213,1.6,0.036,1.321,0.6,0.073,0.946,1.2,0.018,1.143,0.3,0.045,0.571,0.7
Alen Smailagic,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,1.4,0.8,0.214,1.25,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Caruso,336.3999999999999,0.029,0.7,0.2,0.185,1.238,1.1,0.246,0.619,1.4,0.032,0.818,0.2,0.0,0.0,0.0,0.284,1.031,1.7,0.062,0.714,0.4,0.067,1.304,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.708,0.4
Alex Len,344.0,0.0,0.0,0.0,0.059,1.35,0.5,0.0,0.0,0.0,0.288,1.041,2.5,0.065,0.682,0.6,0.147,0.92,1.3,0.0,0.0,0.0,0.203,1.275,1.7,0.0,0.0,0.0,0.147,1.12,1.3,0.076,0.308,0.7
Alfonzo McKinnie,188.0,0.0,0.0,0.0,0.16,0.912,0.9,0.066,0.571,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.382,0.728,2.0,0.0,0.0,0.0,0.094,1.55,0.5,0.0,0.0,0.0,0.099,1.19,0.5,0.075,0.563,0.4
Allen Crabbe,134.4,0.0,0.0,0.0,0.12,0.895,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399,1.016,2.3,0.215,0.941,1.2,0.0,0.0,0.0,0.114,0.611,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Allonzo Trier,134.4,0.081,0.917,0.5,0.242,1.25,1.5,0.289,1.186,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.201,1.033,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.636,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,960.4000000000001,0.063,0.787,1.2,0.101,1.02,2.0,0.0,0.0,0.0,0.167,0.957,3.3,0.157,0.914,3.1,0.064,0.613,1.3,0.0,0.0,0.0,0.158,1.111,3.1,0.0,0.0,0.0,0.192,1.054,3.8,0.091,0.25,1.8
Andre Iguodala,36.4,0.0,0.0,0.0,0.236,0.706,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.85,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,982.8,0.091,0.8,2.1,0.093,1.109,2.2,0.364,0.863,8.5,0.0,0.0,0.0,0.04,0.974,0.9,0.137,0.896,3.2,0.105,1.01,2.5,0.056,1.527,1.3,0.064,0.968,1.5,0.029,1.0,0.7,0.019,0.947,0.5
Anfernee Simons,617.5,0.117,1.027,1.1,0.142,0.978,1.4,0.313,0.878,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.891,2.3,0.061,0.737,0.6,0.029,1.5,0.3,0.045,1.036,0.4,0.0,0.0,0.0,0.046,0.448,0.4
Ante Zizic,74.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.783,1.0,0.213,0.842,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.247,1.5,1.0,0.0,0.0,0.0,0.135,1.417,0.5,0.0,0.0,0.0
Anthony Davis,1316.0,0.081,0.972,1.9,0.113,1.349,2.7,0.029,0.921,0.7,0.128,1.268,3.0,0.225,0.916,5.3,0.132,1.064,3.1,0.018,0.667,0.4,0.078,1.51,1.8,0.046,0.733,1.1,0.073,1.177,1.7,0.077,1.0,1.8
Anthony Tolliver,145.2,0.0,0.0,0.0,0.136,0.95,0.6,0.0,0.0,0.0,0.19,1.214,0.8,0.0,0.0,0.0,0.442,0.723,2.0,0.0,0.0,0.0,0.068,1.5,0.3,0.0,0.0,0.0,0.068,0.7,0.3,0.082,0.417,0.4
Anzejs Pasecniks,141.6,0.0,0.0,0.0,0.071,1.182,0.5,0.0,0.0,0.0,0.224,0.914,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.103,1.6,0.0,0.0,0.0,0.179,0.929,1.2,0.167,0.615,1.1
Aron Baynes,466.2000000000001,0.0,0.0,0.0,0.051,1.208,0.6,0.0,0.0,0.0,0.263,1.138,2.9,0.09,1.167,1.0,0.206,1.042,2.3,0.0,0.0,0.0,0.122,1.246,1.4,0.024,0.727,0.3,0.116,0.889,1.3,0.113,0.434,1.3
Austin Rivers,480.0,0.201,0.99,1.7,0.177,1.18,1.5,0.149,0.907,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.339,1.018,2.8,0.036,1.056,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.696,0.4
Avery Bradley,431.2,0.0,0.0,0.0,0.215,1.168,1.9,0.152,0.806,1.4,0.023,1.7,0.2,0.0,0.0,0.0,0.29,0.797,2.6,0.113,1.02,1.0,0.066,1.207,0.6,0.073,0.875,0.7,0.0,0.0,0.0,0.045,0.6,0.4
Bam Adebayo,1053.0,0.076,0.863,1.2,0.106,1.098,1.7,0.047,0.98,0.8,0.178,1.17,2.9,0.065,0.899,1.1,0.08,0.857,1.3,0.0,0.0,0.0,0.251,1.162,4.1,0.0,0.0,0.0,0.086,1.022,1.4,0.106,0.446,1.7
Ben McLemore,516.6,0.0,0.0,0.0,0.212,1.157,1.8,0.0,0.0,0.0,0.085,0.913,0.7,0.0,0.0,0.0,0.482,1.261,4.1,0.022,0.167,0.2,0.041,1.591,0.3,0.081,0.932,0.7,0.0,0.0,0.0,0.05,0.556,0.4
Ben Simmons,945.0,0.049,0.978,0.9,0.301,0.975,5.3,0.149,0.814,2.6,0.035,1.061,0.6,0.114,0.907,2.0,0.041,1.308,0.7,0.013,0.667,0.2,0.142,1.328,2.5,0.0,0.0,0.0,0.053,1.0,0.9,0.103,0.485,1.8
Bismack Biyombo,386.9,0.0,0.0,0.0,0.096,1.132,0.7,0.0,0.0,0.0,0.249,0.949,1.8,0.043,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.2,2.5,0.0,0.0,0.0,0.162,0.813,1.2,0.112,0.636,0.8
Blake Griffin,325.8,0.093,0.806,1.7,0.108,1.25,2.0,0.202,0.866,3.7,0.078,0.731,1.4,0.166,0.909,3.1,0.178,0.746,3.3,0.036,0.333,0.7,0.036,0.917,0.7,0.0,0.0,0.0,0.039,0.615,0.7,0.045,0.267,0.8
