TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Atlanta Hawks,8921.6,0.056,0.928,6.1,0.12,1.085,13.0,0.217,0.762,23.6,0.077,1.08,8.3,0.012,0.683,1.3,0.208,0.972,22.6,0.058,0.958,6.3,0.066,1.247,7.2,0.083,1.001,9.0,0.047,1.077,5.1,0.058,0.541,6.3
Boston Celtics,8790.4,0.083,0.929,8.9,0.138,1.049,14.8,0.147,0.878,15.7,0.066,1.069,7.0,0.084,0.823,9.0,0.204,1.058,21.9,0.057,0.867,6.1,0.06,1.217,6.5,0.058,1.085,6.2,0.044,1.047,4.7,0.059,0.466,6.4
Brooklyn Nets,9044.599999999999,0.076,0.907,8.4,0.144,1.002,15.9,0.166,0.807,18.4,0.079,1.085,8.7,0.032,0.847,3.5,0.234,1.063,25.8,0.048,0.86,5.3,0.065,1.182,7.2,0.061,1.007,6.7,0.045,1.081,5.0,0.049,0.51,5.4
Charlotte Hornets,9052.8,0.052,0.898,5.7,0.123,1.183,13.6,0.195,0.907,21.5,0.06,1.019,6.6,0.091,0.833,10.1,0.206,0.974,22.7,0.035,0.946,3.9,0.062,1.309,6.8,0.066,0.961,7.3,0.053,1.142,5.8,0.058,0.505,6.4
Chicago Bulls,9020.0,0.052,0.782,5.8,0.143,1.057,15.8,0.172,0.806,19.0,0.081,1.06,8.9,0.059,0.889,6.5,0.224,0.961,24.6,0.059,0.884,6.4,0.059,1.253,6.5,0.042,0.893,4.7,0.051,0.994,5.6,0.057,0.561,6.2
Cleveland Cavaliers,8831.4,0.101,0.911,10.9,0.175,1.131,18.9,0.15,0.905,16.1,0.052,1.17,5.6,0.072,0.947,7.8,0.181,1.077,19.5,0.032,0.793,3.4,0.074,1.382,8.0,0.056,1.097,6.0,0.044,1.066,4.8,0.062,0.533,6.7
Dallas Mavericks,8659.199999999999,0.095,0.828,10.0,0.108,1.034,11.4,0.176,0.806,18.6,0.072,1.149,7.6,0.068,0.951,7.2,0.21,1.052,22.2,0.042,0.893,4.5,0.063,1.359,6.6,0.076,0.982,8.0,0.037,1.12,3.9,0.053,0.465,5.6
Denver Nuggets,9028.2,0.066,0.8,7.3,0.145,1.108,15.9,0.131,0.856,14.4,0.062,1.072,6.8,0.08,0.912,8.8,0.21,1.052,23.1,0.07,0.967,7.7,0.082,1.266,9.0,0.04,1.072,4.4,0.055,1.092,6.1,0.06,0.556,6.6
Detroit Pistons,8864.2,0.059,0.829,6.4,0.155,1.1,16.7,0.155,0.842,16.8,0.041,0.967,4.5,0.055,0.855,6.0,0.189,1.07,20.4,0.109,0.85,11.8,0.065,1.248,7.0,0.05,0.941,5.4,0.06,1.084,6.5,0.061,0.475,6.6
Golden State Warriors,8897.0,0.064,0.949,6.9,0.186,1.155,20.2,0.109,0.964,11.8,0.044,1.101,4.8,0.061,0.867,6.6,0.147,1.042,15.9,0.032,0.878,3.5,0.123,1.336,13.4,0.119,1.131,12.9,0.041,1.016,4.5,0.074,0.471,8.0
Houston Rockets,8815.0,0.145,1.122,15.6,0.15,1.199,16.1,0.176,0.934,18.9,0.083,1.115,8.9,0.024,0.944,2.6,0.199,1.016,21.4,0.031,0.938,3.3,0.054,1.205,5.8,0.045,1.015,4.8,0.039,1.041,4.2,0.055,0.563,5.9
Indiana Pacers,8806.8,0.062,0.864,6.7,0.161,1.138,17.2,0.183,0.872,19.6,0.115,0.991,12.4,0.06,0.911,6.5,0.17,1.03,18.2,0.041,1.019,4.5,0.06,1.164,6.5,0.047,0.937,5.0,0.049,1.074,5.3,0.051,0.558,5.5
LA Clippers,9061.0,0.079,1.003,8.8,0.149,1.043,16.5,0.207,0.84,22.9,0.056,1.267,6.2,0.062,0.889,6.8,0.187,0.987,20.6,0.047,0.862,5.2,0.073,1.329,8.0,0.025,1.004,2.8,0.057,1.132,6.4,0.057,0.583,6.3
Los Angeles Lakers,9298.8,0.062,0.882,7.0,0.195,1.057,22.1,0.145,0.743,16.5,0.057,1.068,6.5,0.076,0.886,8.6,0.192,0.994,21.8,0.04,0.821,4.5,0.066,1.274,7.5,0.05,0.91,5.7,0.057,1.182,6.5,0.059,0.459,6.7
Memphis Grizzlies,8724.8,0.065,0.877,6.9,0.14,1.049,14.9,0.187,0.845,19.9,0.079,1.051,8.5,0.063,0.776,6.7,0.209,0.967,22.2,0.04,0.897,4.2,0.068,1.17,7.3,0.036,0.955,3.8,0.051,1.102,5.4,0.062,0.411,6.6
Miami Heat,8806.800000000001,0.05,0.813,5.4,0.127,1.091,13.6,0.175,0.83,18.7,0.062,1.082,6.7,0.046,0.821,5.0,0.205,1.001,21.9,0.106,0.944,11.4,0.069,1.26,7.4,0.052,1.02,5.6,0.047,1.101,5.1,0.061,0.57,6.6
Milwaukee Bucks,8692.000000000002,0.075,0.917,7.9,0.194,1.109,20.5,0.159,0.882,16.8,0.049,1.179,5.2,0.055,0.938,5.9,0.215,1.004,22.8,0.036,0.99,3.8,0.083,1.203,8.8,0.036,0.861,3.8,0.045,1.095,4.7,0.055,0.583,5.8
Minnesota Timberwolves,8872.4,0.087,0.875,9.4,0.125,1.12,13.5,0.19,0.852,20.5,0.072,1.103,7.8,0.091,0.99,9.9,0.19,1.037,20.6,0.037,0.988,4.0,0.073,1.307,7.9,0.019,1.036,2.0,0.057,1.214,6.2,0.059,0.678,6.4
New Orleans Pelicans,9142.999999999998,0.07,0.873,7.8,0.174,1.072,19.4,0.13,0.844,14.4,0.058,1.161,6.5,0.078,0.908,8.7,0.211,1.024,23.5,0.036,1.039,4.1,0.075,1.33,8.4,0.064,0.885,7.1,0.044,1.236,4.9,0.06,0.597,6.7
New York Knicks,9011.8,0.073,0.804,8.0,0.13,1.08,14.2,0.16,0.781,17.6,0.082,1.081,9.0,0.087,0.926,9.5,0.175,0.972,19.2,0.033,0.94,3.7,0.073,1.286,8.1,0.062,0.98,6.8,0.062,1.112,6.9,0.063,0.438,6.9
Oklahoma City Thunder,9184.0,0.105,0.825,11.7,0.163,1.088,18.3,0.18,0.862,20.2,0.07,1.141,7.8,0.064,0.913,7.2,0.186,1.004,20.8,0.023,0.714,2.6,0.055,1.264,6.2,0.04,1.092,4.5,0.06,0.987,6.7,0.054,0.468,6.0
Orlando Magic,8888.800000000001,0.051,0.864,5.5,0.156,1.085,17.0,0.169,0.822,18.3,0.065,0.998,7.0,0.052,0.788,5.6,0.216,1.008,23.4,0.055,0.813,6.0,0.075,1.259,8.1,0.062,0.907,6.7,0.046,1.073,5.0,0.053,0.481,5.8
Philadelphia 76ers,9192.199999999999,0.039,0.801,4.4,0.172,1.065,19.2,0.108,0.852,12.1,0.038,0.975,4.3,0.096,0.896,10.8,0.202,1.003,22.6,0.07,0.909,7.8,0.091,1.313,10.2,0.058,0.996,6.5,0.051,1.112,5.8,0.075,0.558,8.4
Phoenix Suns,9192.199999999999,0.062,0.811,6.9,0.172,1.035,19.2,0.194,0.803,21.7,0.045,1.084,5.1,0.043,0.826,4.8,0.166,0.918,18.6,0.051,0.859,5.7,0.068,1.308,7.6,0.078,0.975,8.8,0.06,1.077,6.7,0.062,0.428,7.0
Portland Trail Blazers,8897.0,0.086,0.913,9.3,0.105,1.018,11.4,0.216,0.955,23.4,0.074,1.024,8.1,0.065,0.792,7.0,0.171,1.003,18.5,0.045,0.99,4.9,0.074,1.188,8.0,0.055,1.035,5.9,0.056,1.111,6.1,0.054,0.49,5.9
Sacramento Kings,8708.4,0.066,0.9,7.0,0.138,1.11,14.6,0.171,0.769,18.1,0.074,0.972,7.9,0.085,0.817,9.0,0.184,0.995,19.5,0.049,0.92,5.2,0.073,1.199,7.7,0.049,0.855,5.2,0.053,1.045,5.6,0.06,0.455,6.4
San Antonio Spurs,8757.599999999999,0.046,0.826,4.9,0.112,1.077,11.9,0.163,0.799,17.4,0.072,1.093,7.7,0.116,0.945,12.4,0.242,0.969,25.9,0.041,0.925,4.4,0.063,1.253,6.7,0.033,0.905,3.5,0.057,1.224,6.1,0.055,0.492,5.9
