PLAYER_NAME,TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Aaron Brooks,Chicago Bulls,565.8,0.071,0.78,0.6,0.104,0.95,0.9,0.561,0.82,4.7,0,0,0,0,0,0,0.123,1.113,1,0.068,0.923,0.6,0,0,0,0,0,0,0,0,0,0.05,0.379,0.4
Aaron Gordon,Orlando Magic,725.4,0.041,0.6,0.4,0.174,1.079,1.6,0.051,1,0.5,0.07,1,0.7,0.043,0.71,0.4,0.247,0.85,2.3,0.025,0.667,0.2,0.122,1.292,1.1,0,0,0,0.146,1.292,1.4,0.073,0.642,0.7
Al Horford,Atlanta Hawks,1213.6,0.033,0.725,0.5,0.1,1.246,1.5,0,0,0,0.247,1.13,3.7,0.139,0.888,2.1,0.231,0.929,3.4,0,0,0,0.107,1.185,1.6,0.035,0.884,0.5,0.055,1.284,0.8,0.047,0.491,0.7
Al Jefferson,Charlotte Hornets,568.7,0,0,0,0.019,1.364,0.2,0,0,0,0.169,1.081,2.1,0.518,0.882,6.5,0.048,1,0.6,0,0,0,0.138,1.16,1.7,0,0,0,0.058,0.824,0.7,0.026,0.4,0.3
Al-Farouq Aminu,Portland Trail Blazers,893.8,0.038,0.324,0.4,0.179,0.894,2,0.085,0.684,0.9,0.04,1,0.4,0.021,0.421,0.2,0.374,1.027,4.1,0.06,0.889,0.7,0.051,1.413,0.6,0.05,0.867,0.5,0.058,1.135,0.6,0.044,0.675,0.5
Alan Anderson,Washington Wizards,45.5,0.167,0.818,0.8,0.182,1,0.9,0,0,0,0,0,0,0,0,0,0.364,1.333,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alec Burks,Utah Jazz,424.7,0.117,0.769,1.7,0.155,1.087,2.2,0.315,0.821,4.5,0,0,0,0,0,0,0.214,1.095,3.1,0.077,0.882,1.1,0.036,1,0.5,0,0,0,0,0,0,0.045,0.9,0.6
Alex Len,Phoenix Suns,865.8,0.025,0.273,0.3,0.045,0.897,0.5,0,0,0,0.113,0.869,1.3,0.296,0.686,3.3,0.09,0.671,1,0,0,0,0.197,1.163,2.2,0.018,0.75,0.2,0.127,0.946,1.4,0.084,0.315,0.9
Alex Stepheson,Memphis Grizzlies,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.8,3.8,0,0,0
Alexis Ajinca,New Orleans Pelicans,383.5,0,0,0,0.043,1,0.3,0,0,0,0.275,0.945,1.8,0.096,0.684,0.6,0.151,0.75,1,0,0,0,0.171,1.088,1.2,0.045,1,0.3,0.108,1.116,0.7,0.086,0.353,0.6
Allen Crabbe,Portland Trail Blazers,761.4,0,0,0,0.179,1.193,1.7,0.092,0.75,0.9,0.032,1.12,0.3,0,0,0,0.325,1.192,3.1,0.108,0.765,1,0.043,1.471,0.4,0.163,0.93,1.6,0.013,2,0.1,0.033,0.5,0.3
Alonzo Gee,New Orleans Pelicans,313.9,0,0,0,0.311,1.19,1.4,0.03,0.7,0.1,0,0,0,0,0,0,0.328,0.811,1.5,0,0,0,0.127,1.209,0.6,0,0,0,0.086,1.034,0.4,0.068,0.348,0.3
Amar'e Stoudemire,Miami Heat,286,0,0,0,0.04,0.833,0.2,0,0,0,0.273,1.296,1.6,0.192,0.789,1.1,0.037,0.909,0.2,0,0,0,0.195,1.207,1.1,0.037,0.727,0.2,0.141,1.071,0.8,0.061,0.167,0.3
Amir Johnson,Boston Celtics,568.8,0.031,1.111,0.2,0.108,1.323,0.8,0,0,0,0.156,1.122,1.1,0.109,0.857,0.8,0.094,0.63,0.7,0,0,0,0.193,1.387,1.4,0,0,0,0.174,1.09,1.3,0.127,0.233,0.9
Anderson Varejao,Cleveland Cavaliers,99.2,0,0,0,0,0,0,0,0,0,0.176,0.889,0.6,0.098,0.1,0.3,0.216,0.727,0.7,0,0,0,0.235,1.125,0.8,0,0,0,0.108,0.727,0.4,0.108,0.636,0.4
Andre Drummond,Detroit Pistons,1482.3,0.036,0.623,0.7,0.06,1,1.1,0,0,0,0.132,1.103,2.4,0.275,0.726,5,0.015,0.636,0.3,0,0,0,0.124,1.137,2.3,0,0,0,0.233,1.079,4.2,0.126,0.459,2.3
Andre Iguodala,Golden State Warriors,481,0.079,0.947,0.6,0.238,1.13,1.8,0.077,0.486,0.6,0,0,0,0.029,0.571,0.2,0.267,1.023,2,0.023,1.455,0.2,0.081,1.128,0.6,0.054,1.038,0.4,0.033,1.063,0.2,0.108,0.481,0.8
Andre Miller,San Antonio Spurs,65,0,0,0,0,0,0,0.356,0.875,1.2,0,0,0,0,0,0,0.152,0.5,0.8,0,0,0,0.122,1.455,0.4,0,0,0,0,0,0,0.133,0,0.5
Andre Roberson,Oklahoma City Thunder,329,0,0,0,0.266,1.157,1.3,0,0,0,0,0,0,0,0,0,0.338,0.832,1.6,0,0,0,0.18,1.267,0.9,0,0,0,0.123,1.098,0.6,0.066,0.636,0.3
Andrea Bargnani,Brooklyn Nets,322,0.052,0.588,0.4,0.037,1.333,0.3,0,0,0,0.33,0.954,2.3,0.043,1,0.3,0.287,0.894,2,0,0,0,0.086,1.321,0.6,0.049,0.875,0.3,0.064,0.81,0.5,0.043,0.429,0.3
Andrew Bogut,Golden State Warriors,371,0,0,0,0.05,1.316,0.3,0,0,0,0.097,0.892,0.5,0.065,0.56,0.4,0,0,0,0,0,0,0.366,1.421,2,0,0,0,0.188,1.014,1,0.194,0.23,1.1
Andrew Nicholson,Orlando Magic,375.2,0,0,0,0.073,1.179,0.5,0,0,0,0.186,0.845,1.3,0.323,0.943,2.2,0.223,1.106,1.5,0,0,0,0.05,1.158,0.3,0.026,1.5,0.2,0.05,1.211,0.3,0.055,0.524,0.4
Andrew Wiggins,Minnesota Timberwolves,1733.4,0.102,0.853,2.2,0.117,1.177,2.5,0.189,0.847,4,0.028,1.041,0.6,0.12,1,2.6,0.099,0.953,2.1,0.067,1,1.4,0.055,1.305,1.2,0.145,0.825,3.1,0.044,1.091,1,0.033,0.86,0.7
